HITId,AssignmentId,WorkerId,WorkTimeInSeconds,Input.Id,Input.Venue,Input.Title,Input.Authors,Input.Cites,Input.Abstract,Answer.DOI,Answer.Methods?,Answer.Primary?,Answer.Quant?,Answer.Read?,Answer.Suggestion,Answer.citation,Answer.paper-link
30F94FBDNR8BT8OW1J7AVD3MNPOBTE,3FPRZHYEPZVNPPM2HNXK2WOIB9S3V5,A3F9JBVNMQ4ZUV,134,14345,15,Test input generation with java PathFinder,"willem visser,corina s. pasareanu,sarfraz khurshid","69","We show how model checking and symbolic execution can be used to generate test inputs to achieve structural coverage of code that manipulates complex data structures. We focus on obtaining branch-coverage during unit testing of some of the core methods of the red-black tree implementation in the Java TreeMap library, using the Java PathFinder model checker. Three different test generation techniques will be introduced and compared, namely, straight model checking of the code, model checking used in a black-box fashion to generate all inputs up to a fixed size, and lastly, model checking used during white-box test input generation. The main contribution of this work is to show how efficient white-box test input generation can be done for code manipulating complex data, taking into account complex method preconditions.",http://users.ece.utexas.edu/~khurshid/papers/JPF-issta04.pdf,1|4,1,1,1|2,{},486,http://dl.acm.org/citation.cfm?id=1007526
30F94FBDNR8BT8OW1J7AVD3MNPOBTE,3LEP4MGT3HO6Y3QT5VCWETGNZUNBDR,A1665VCUSZL9YT,312,14345,15,Test input generation with java PathFinder,"willem visser,corina s. pasareanu,sarfraz khurshid","69","We show how model checking and symbolic execution can be used to generate test inputs to achieve structural coverage of code that manipulates complex data structures. We focus on obtaining branch-coverage during unit testing of some of the core methods of the red-black tree implementation in the Java TreeMap library, using the Java PathFinder model checker. Three different test generation techniques will be introduced and compared, namely, straight model checking of the code, model checking used in a black-box fashion to generate all inputs up to a fixed size, and lastly, model checking used during white-box test input generation. The main contribution of this work is to show how efficient white-box test input generation can be done for code manipulating complex data, taking into account complex method preconditions.",https://doi.org/10.1145/1007512.1007526,1,1,1,1|2,{},173,http://dl.acm.org/citation.cfm?id=1007526
30F94FBDNR8BT8OW1J7AVD3MNPOBTE,3QECW5O0KIPBQC5HQBLYGBYHT565TR,AZ72Z7VU6TQCN,93,14345,15,Test input generation with java PathFinder,"willem visser,corina s. pasareanu,sarfraz khurshid","69","We show how model checking and symbolic execution can be used to generate test inputs to achieve structural coverage of code that manipulates complex data structures. We focus on obtaining branch-coverage during unit testing of some of the core methods of the red-black tree implementation in the Java TreeMap library, using the Java PathFinder model checker. Three different test generation techniques will be introduced and compared, namely, straight model checking of the code, model checking used in a black-box fashion to generate all inputs up to a fixed size, and lastly, model checking used during white-box test input generation. The main contribution of this work is to show how efficient white-box test input generation can be done for code manipulating complex data, taking into account complex method preconditions.",doi>10.1145/1007512.1007526,1|2,1,1,2|3,{},487,http://dl.acm.org/citation.cfm?id=1007526
30OITAWPBQR206I435CPQO58OVQ9HS,3NG53N1RLW7WL2VC7SJHNL7B57G8PE,A3F9JBVNMQ4ZUV,86,10319,9,Yesterday My Program Worked Today It Does Not Why,andreas zeller,"47","Imagine some program and a number of changes. If none of these changes is applied (yesterday), the program works. If all changes are applied (today), the program does not work. Which change is responsible for the failure? We present an efficient algorithm that determines the minimal set of failure-inducing changes. Our delta debugging prototype tracked down a single failure-inducing change from 178,000 changed GDB lines within a few hours.",https://pdfs.semanticscholar.org/1a11/995cca0eb239a7b95d23b4a42c6a634fcf41.pdf,1,1,1,2,{},344,https://link.springer.com/chapter/10.1007/3-540-48166-4_16
30OITAWPBQR206I435CPQO58OVQ9HS,3P529IW9KZ9F9WQ1NEWGGWFDN14LFM,A3KFX4FS1SANOS,443,10319,9,Yesterday My Program Worked Today It Does Not Why,andreas zeller,"47","Imagine some program and a number of changes. If none of these changes is applied (yesterday), the program works. If all changes are applied (today), the program does not work. Which change is responsible for the failure? We present an efficient algorithm that determines the minimal set of failure-inducing changes. Our delta debugging prototype tracked down a single failure-inducing change from 178,000 changed GDB lines within a few hours.",DOI: 10.1007/3-540-48166-4_16,4,1,3,2,NONE,344,https://link.springer.com/chapter/10.1007/3-540-48166-4_16
30OITAWPBQR206I435CPQO58OVQ9HS,3ZV9H2YQQEV04EM77X2GOY7WJ3XW3I,AZ72Z7VU6TQCN,92,10319,9,Yesterday My Program Worked Today It Does Not Why,andreas zeller,"47","Imagine some program and a number of changes. If none of these changes is applied (yesterday), the program works. If all changes are applied (today), the program does not work. Which change is responsible for the failure? We present an efficient algorithm that determines the minimal set of failure-inducing changes. Our delta debugging prototype tracked down a single failure-inducing change from 178,000 changed GDB lines within a few hours.",DOI: 10.1007/3-540-48166-4_16,1|2,1,1,2|3,{},345,https://link.springer.com/chapter/10.1007/3-540-48166-4_16
31HLTCK4BLJMXH0WM0Z3X6I40NWGVG,35USIKEBNS49E30BYY9RZI6PZ7XN63,AZ72Z7VU6TQCN,63,1809,1,Predicting defects using network analysis on dependency graphs,"thomas zimmermann,nachiappan nagappan","55","In software development, resources for quality assurance are limited by time and by cost. In order to allocate resources effectively, managers need to rely on their experience backed by code complexity metrics. But often dependencies exist between various pieces of code over which managers may have little knowledge. These dependencies can be construed as a low level graph of the entire system. In this paper, we propose to use network analysis on these dependency graphs. This allows managers to identify central program units that are more likely to face defects. In our evaluation on Windows Server 2003, we found that the recall for models built from network measures is by 10% points higher than for models built from complexity metrics. In addition, network measures could identify 60% of the binaries that the Windows developers considered as critical-twice as many as identified by complexity metrics.",DOI: 10.1145/1368088.1368161,1,1,,2|3,{},382,http://ieeexplore.ieee.org/abstract/document/4814164/
31HLTCK4BLJMXH0WM0Z3X6I40NWGVG,3A4NIXBJ77NLF6II910TBMZMK1EMLQ,A3F9JBVNMQ4ZUV,99,1809,1,Predicting defects using network analysis on dependency graphs,"thomas zimmermann,nachiappan nagappan","55","In software development, resources for quality assurance are limited by time and by cost. In order to allocate resources effectively, managers need to rely on their experience backed by code complexity metrics. But often dependencies exist between various pieces of code over which managers may have little knowledge. These dependencies can be construed as a low level graph of the entire system. In this paper, we propose to use network analysis on these dependency graphs. This allows managers to identify central program units that are more likely to face defects. In our evaluation on Windows Server 2003, we found that the recall for models built from network measures is by 10% points higher than for models built from complexity metrics. In addition, network measures could identify 60% of the binaries that the Windows developers considered as critical-twice as many as identified by complexity metrics.",http://thomas-zimmermann.com/publications/files/zimmermann-icse-2008.pdf,1,1,1,2,{},381,http://ieeexplore.ieee.org/abstract/document/4814164/
31HLTCK4BLJMXH0WM0Z3X6I40NWGVG,3X4MXAO0BHCSNG79IN3C6WACOXRRWQ,A1E9VI5RSZI31F,292,1809,1,Predicting defects using network analysis on dependency graphs,"thomas zimmermann,nachiappan nagappan","55","In software development, resources for quality assurance are limited by time and by cost. In order to allocate resources effectively, managers need to rely on their experience backed by code complexity metrics. But often dependencies exist between various pieces of code over which managers may have little knowledge. These dependencies can be construed as a low level graph of the entire system. In this paper, we propose to use network analysis on these dependency graphs. This allows managers to identify central program units that are more likely to face defects. In our evaluation on Windows Server 2003, we found that the recall for models built from network measures is by 10% points higher than for models built from complexity metrics. In addition, network measures could identify 60% of the binaries that the Windows developers considered as critical-twice as many as identified by complexity metrics.",10.1145/1368088.1368161,1,1,1,2,{},120,http://ieeexplore.ieee.org/abstract/document/4814164/
335VBRURDJOQGWR2D44J5L8VWFY9EC,3907X2AHF1TLZNTNRBAGDUU8JI62P9,AZ72Z7VU6TQCN,170,14374,15,Effectively prioritizing tests in development environment,"amitabh srivastava,jay thiagarajan","51","Software testing helps ensure not only that the software under development has been implemented correctly, but also that further development does not break it. If developers introduce new defects into the software, these should be detected as early and inexpensively as possible in the development cycle. To help optimize which tests are run at what points in the design cycle, we have built Echelon, a test prioritization system, which prioritizes the application's given set of tests, based on what changes have been made to the program.Echelon builds on the previous work on test prioritization and proposes a practical binary code based approach that scales well to large systems. Echelon utilizes a binary matching system that can accurately compute the differences at a basic block granularity between two versions of the program in binary form. Echelon utilizes a fast, simple and intuitive heuristic that works well in practice to compute what tests will cover the affected basic blocks in the program. Echelon orders the given tests to maximally cover the affected program so that defects are likely to be found quickly and inexpensively. Although the primary focus in Echelon is on program changes, other criteria can be added in computing the priorities.Echelon is part of a test effectiveness infrastructure that runs under the Windows environment. It is currently being integrated into the Microsoft software development process. Echelon has been tested on large Microsoft product binaries. The results show that Echelon is effective in ordering tests based on changes between two program versions.",doi>10.1145/566172.566187,1,1,1,2,{},330,http://dl.acm.org/citation.cfm?id=566187
